gspread_row;owner;name;main_branch;total_commits;last_commit_check;fork_count;stars_count;watchers_count;license_name;primary_language;is_archived
2;awslabs;autogluon;master;597;False;410;3185;82;Apache License 2.0;Python;False
3;keras-team;autokeras;master;1251;False;1282;7939;301;Apache License 2.0;Python;False
4;automl;Auto-PyTorch;master;127;False;149;1216;43;Apache License 2.0;Python;False
5;automl;auto-sklearn;master;2457;False;1014;5400;219;Other;Python;False
6;AxeldeRomblay;MLBox;master;1121;True;254;1220;67;Other;Python;False
7;iterative;cml;master;202;False;149;2358;45;Apache License 2.0;JavaScript;False
8;jamesrwhite;minicron;master;1249;True;165;2344;83;GNU General Public License v3.0;Ruby;False
9;healthchecks;healthchecks;master;1673;False;470;3748;92;BSD 3-Clause "New" or "Revised" License;Python;False
10;apache;zeppelin;master;4861;False;2463;5242;340;Apache License 2.0;Java;False
11;jupyter;notebook;master;12046;False;3390;8231;318;Other;JavaScript;False
12;polynote;polynote;master;2077;False;364;4143;95;Apache License 2.0;TypeScript;False
13;iterative;dvc;master;6568;False;751;7872;121;Apache License 2.0;Python;False
15;intake;intake;master;1679;False;101;558;42;BSD 2-Clause "Simplified" License;Python;False
16;treeverse;lakeFS;master;2352;False;134;1144;20;Apache License 2.0;Go;False
17;apache;airflow;master;12329;False;8446;21422;740;Apache License 2.0;Python;False
18;apache;hadoop;trunk;24905;False;7160;11574;1029;Apache License 2.0;Java;False
19;apache;Spark;master;30003;False;23811;29601;2110;Apache License 2.0;Scala;False
20;dagster-io;dagster;master;7523;False;355;3214;65;Apache License 2.0;Python;False
21;pyeve;cerberus;master;1145;False;211;2470;49;ISC License;Python;False
22;plotly;dash;dev;3651;False;1468;14461;399;MIT License;Python;False
24;PAIR-code;facets;master;264;False;843;6566;276;Apache License 2.0;Jupyter Notebook;False
25;metabase;metabase;master;20583;False;3310;24747;636;Other;Clojure;False
26;getredash;redash;master;7231;False;3235;18686;585;BSD 2-Clause "Simplified" License;Python;False
27;apache;superset;master;7427;False;7292;38425;1446;Apache License 2.0;Python;False
29;quintoandar;butterfree;staging;270;False;20;147;79;Apache License 2.0;Python;False
30;bytehub-ai;bytehub;master;95;False;0;20;1;GNU General Public License v3.0;Python;False
31;feast-dev;feast;master;1638;False;304;1834;60;Apache License 2.0;Python;False
32;maxpumperla;hyperas;master;209;False;305;2088;62;MIT License;Python;True
33;hyperopt;hyperopt;master;1172;False;882;5588;128;Other;Python;False
34;kubeflow;katib;master;809;False;263;976;65;Apache License 2.0;Jsonnet;False
35;optuna;optuna;master;9851;False;502;4513;132;MIT License;Python;False
