gspread_row;use_area;tool_name;repo_owner;repo_name;main_branch;total_commits;last_commit_check;fork_count;stars_count;watchers_count;license_name;primary_language;is_archived
2;AutoML;AutoGluon;awslabs;autogluon;master;600;False;413;3212;82;Apache License 2.0;Python;False
3;AutoML;AutoKeras;keras-team;autokeras;master;1251;False;1282;7941;301;Apache License 2.0;Python;False
4;AutoML;AutoPyTorch;automl;Auto-PyTorch;master;127;False;150;1218;43;Apache License 2.0;Python;False
5;AutoML;AutoSKLearn;automl;auto-sklearn;master;2457;False;1017;5403;220;Other;Python;False
6;AutoML;MLBox;AxeldeRomblay;MLBox;master;1121;True;254;1221;67;Other;Python;False
7;CI/CD ;CML;iterative;cml;master;227;False;149;2360;45;Apache License 2.0;JavaScript;False
8;Cron Job Monitoring;minicron;jamesrwhite;minicron;master;1249;True;165;2344;83;GNU General Public License v3.0;Ruby;False
9;Cron Job Monitoring;healthchecks;healthchecks;healthchecks;master;1673;False;470;3754;92;BSD 3-Clause "New" or "Revised" License;Python;False
10;Data Exploration;Apache Zeppelin;apache;zeppelin;master;4861;False;2466;5244;340;Apache License 2.0;Java;False
11;Data Exploration;Jupyter Notebook;jupyter;notebook;master;12046;False;3391;8239;317;Other;JavaScript;False
12;Data Exploration;Polynote;polynote;polynote;master;2077;False;363;4144;95;Apache License 2.0;TypeScript;False
13;Data Management;dvc;iterative;dvc;master;6570;False;752;7878;121;Apache License 2.0;Python;False
14;Data Management;Intake;intake;intake;master;1679;False;101;559;42;BSD 2-Clause "Simplified" License;Python;False
15;Data Management;lakeFS;treeverse;lakeFS;master;2353;False;135;1147;20;Apache License 2.0;Go;False
16;Data Processing;Airflow;apache;airflow;master;12340;False;8452;21434;738;Apache License 2.0;Python;False
17;Data Processing;Hadoop;apache;hadoop;trunk;24910;False;7161;11578;1029;Apache License 2.0;Java;False
18;Data Processing;Spark;apache;Spark;master;30011;False;23815;29613;2109;Apache License 2.0;Scala;False
19;Data Processing;Dagster;dagster-io;dagster;master;7532;False;355;3219;65;Apache License 2.0;Python;False
